,Name,Platform,Year,Genre,Publisher,Na Sales,Eu Sales,Jp Sales,Other Sales,Global Sales,Console Type,Console Manufacturer,Console Released,Console Discontinued,Consoles Sold
0,Wii Sports,Wii,2006,Sports,Nintendo,41490000.0,29020000.0,3770000.0,8460000.0,82.74,Home,Nintendo,2006,2013,101630000.0
1,Super Mario Bros.,NES/Famicom,1985,Platform,Nintendo,29080000.0,3580000.0,6810000.0,770000.0,40.24,Home,Nintendo,1983,2003,61910000.0
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,15850000.0,12880000.0,3790000.0,3310000.0,35.82,Home,Nintendo,2006,2013,101630000.0
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,15750000.0,11010000.0,3280000.0,2960000.0,33.0,Home,Nintendo,2006,2013,101630000.0
4,Pokemon Red/Pokemon Blue,Game Boy,1996,Role-Playing,Nintendo,11270000.0,8890000.0,10220000.0,1000000.0,31.37,Handheld,Nintendo,1989,2003,64420000.0
5,Tetris,Game Boy,1989,Puzzle,Nintendo,23200000.0,2260000.0,4220000.0,580000.0,30.26,Handheld,Nintendo,1989,2003,64420000.0
6,New Super Mario Bros.,Nintendo DS,2006,Platform,Nintendo,11380000.0,9230000.0,6500000.0,2900000.0,30.01,Handheld,Nintendo,2004,2013,154020000.0
7,Wii Play,Wii,2006,Misc,Nintendo,14030000.0,9200000.0,2930000.0,2850000.0,29.02,Home,Nintendo,2006,2013,101630000.0
8,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14590000.0,7060000.0,4700000.0,2260000.0,28.62,Home,Nintendo,2006,2013,101630000.0
9,Duck Hunt,NES/Famicom,1984,Shooter,Nintendo,26930000.0,630000.0,280000.0,470000.0,28.31,Home,Nintendo,1983,2003,61910000.0
10,Nintendogs,Nintendo DS,2005,Simulation,Nintendo,9070000.0,11000000.0,1930000.0,2750000.0,24.76,Handheld,Nintendo,2004,2013,154020000.0
11,Mario Kart DS,Nintendo DS,2005,Racing,Nintendo,9810000.0,7570000.0,4130000.0,1920000.0,23.42,Handheld,Nintendo,2004,2013,154020000.0
12,Pokemon Gold/Pokemon Silver,Game Boy,1999,Role-Playing,Nintendo,9000000.0,6180000.0,7200000.0,710000.0,23.1,Handheld,Nintendo,1989,2003,64420000.0
13,Wii Fit,Wii,2007,Sports,Nintendo,8940000.0,8029999.999999999,3600000.0,2150000.0,22.72,Home,Nintendo,2006,2013,101630000.0
14,Wii Fit Plus,Wii,2009,Sports,Nintendo,9090000.0,8590000.0,2530000.0,1790000.0,22.0,Home,Nintendo,2006,2013,101630000.0
15,Kinect Adventures!,Xbox 360,2010,Misc,Microsoft Game Studios,14970000.0,4940000.0,240000.0,1670000.0,21.82,Home,Microsoft,2005,2016,84000000.0
16,Grand Theft Auto V,PlayStation 3,2013,Action,Take-Two Interactive,7010000.0,9270000.0,970000.0,4139999.9999999995,21.4,Home,Sony,2006,2017,87400000.0
17,Grand Theft Auto: San Andreas,PlayStation 2,2004,Action,Take-Two Interactive,9430000.0,400000.0,410000.0,10570000.0,20.81,Home,Sony,2000,2013,155000000.0
18,Super Mario World,SNES/Super Famicom,1990,Platform,Nintendo,12780000.0,3750000.0,3540000.0,550000.0,20.61,Home,Nintendo,1990,2003,49100000.0
19,Brain Age: Train Your Brain in Minutes a Day,Nintendo DS,2005,Misc,Nintendo,4750000.0,9260000.0,4160000.0,2049999.9999999998,20.22,Handheld,Nintendo,2004,2013,154020000.0
20,Pokemon Diamond/Pokemon Pearl,Nintendo DS,2006,Role-Playing,Nintendo,6420000.0,4520000.0,6040000.0,1370000.0,18.36,Handheld,Nintendo,2004,2013,154020000.0
21,Super Mario Land,Game Boy,1989,Platform,Nintendo,10830000.0,2710000.0,4179999.9999999995,420000.0,18.14,Handheld,Nintendo,1989,2003,64420000.0
22,Super Mario Bros. 3,NES/Famicom,1988,Platform,Nintendo,9540000.0,3440000.0,3840000.0,460000.0,17.28,Home,Nintendo,1983,2003,61910000.0
23,Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,9630000.0,5310000.0,60000.0,1380000.0,16.38,Home,Microsoft,2005,2016,84000000.0
24,Grand Theft Auto: Vice City,PlayStation 2,2002,Action,Take-Two Interactive,8410000.0,5490000.0,470000.0,1780000.0,16.15,Home,Sony,2000,2013,155000000.0
25,Pokemon Ruby/Pokemon Sapphire,Game Boy Advance,2002,Role-Playing,Nintendo,6060000.0,3900000.0,5380000.0,500000.0,15.85,Handheld,Nintendo,2001,2010,81510000.0
26,Pokemon Black/Pokemon White,Nintendo DS,2010,Role-Playing,Nintendo,5570000.0,3280000.0,5650000.0,820000.0,15.32,Handheld,Nintendo,2004,2013,154020000.0
27,Brain Age 2: More Training in Minutes a Day,Nintendo DS,2005,Puzzle,Nintendo,3440000.0,5360000.0,5320000.0,1180000.0,15.3,Handheld,Nintendo,2004,2013,154020000.0
28,Gran Turismo 3: A-Spec,PlayStation 2,2001,Racing,Sony Computer Entertainment,6850000.0,5090000.0,1870000.0,1160000.0,14.98,Home,Sony,2000,2013,155000000.0
29,Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,9030000.0,4280000.0,130000.0,1320000.0,14.76,Home,Microsoft,2005,2016,84000000.0
30,Pokémon Yellow: Special Pikachu Edition,Game Boy,1998,Role-Playing,Nintendo,5890000.0,5040000.0,3120000.0,590000.0,14.64,Handheld,Nintendo,1989,2003,64420000.0
31,Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,9670000.0,3730000.0,110000.0,1130000.0,14.64,Home,Microsoft,2005,2016,84000000.0
32,Pokemon X/Pokemon Y,Nintendo 3DS,2013,Role-Playing,Nintendo,5170000.0,4050000.0,4340000.0,790000.0,14.35,Handheld,Nintendo,2011,2020,75940000.0
33,Call of Duty: Black Ops 3,PlayStation 4,2015,Shooter,Activision,5770000.0,5810000.0,350000.0,2310000.0,14.24,Home,Sony,2013,0,117200000.0
34,Call of Duty: Black Ops II,PlayStation 3,2012,Shooter,Activision,4990000.0,5880000.0,650000.0,2520000.0,14.03,Home,Sony,2006,2017,87400000.0
35,Call of Duty: Black Ops II,Xbox 360,2012,Shooter,Activision,8250000.0,4300000.0,70000.0,1120000.0,13.73,Home,Microsoft,2005,2016,84000000.0
36,Call of Duty: Modern Warfare 2,Xbox 360,2009,Shooter,Activision,8520000.0,3630000.0,80000.0,1290000.0,13.51,Home,Microsoft,2005,2016,84000000.0
37,Call of Duty: Modern Warfare 3,PlayStation 3,2011,Shooter,Activision,5540000.0,5820000.0,490000.0,1620000.0,13.46,Home,Sony,2006,2017,87400000.0
